model_id,nfolds,max_after_balance_size,max_confusion_matrix_size,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,stopping_metric,stopping_tolerance,seed,learn_rate,learn_rate_annealing,distribution,quantile_alpha,tweedie_power,huber_alpha,min_split_improvement,histogram_type,categorical_encoding
GBM_2_AutoML_20190418_165439,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_4_AutoML_20190418_172432,5,5,20,87,15,100,20,1024,1024,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_4_AutoML_20190418_165439,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_3_AutoML_20190418_172432,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_3_AutoML_20190418_163635,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_5_AutoML_20190418_163635,5,5,20,87,15,100,20,1024,1024,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_4_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_2_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_1_AutoML_20190418_172432,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_2_AutoML_20190418_172432,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_5_AutoML_20190418_165439,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_5_AutoML_20190418_172432,5,5,20,87,15,100,20,1024,1024,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
