,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190420_034740_model_6,1.0,0.3847229196005143,0.0,0.3195082631578108,0.10208553022612084
1,GBM_2_AutoML_20190420_034740,1.0,9.880492944411623e-18,0.0,5.438081041698325e-16,2.9572725416078724e-31
2,GBM_grid_1_AutoML_20190420_034740_model_4,1.0,0.0022373150308379443,0.0,0.004801681970090935,2.305614974189637e-05
3,GBM_4_AutoML_20190420_034740,1.0,1.1463011731361249e-16,0.0,7.131046920801418e-15,5.085183018667141e-29
4,GBM_1_AutoML_20190420_034740,1.0,8.636890098019692e-18,0.0,7.170818753822378e-16,5.142064160017071e-31
5,StackedEnsemble_AllModels_AutoML_20190420_034740,1.0,0.0008856389819280865,0.0,0.0009086972858917252,8.257307573869877e-07
6,GBM_grid_1_AutoML_20190420_034740_model_1,1.0,4.866860238311344e-16,0.0,4.020409762910168e-14,1.616369466170339e-27
7,GBM_3_AutoML_20190420_034740,1.0,3.6447129575031045e-17,0.0,2.3815539871539574e-15,5.671799393728913e-30
8,GLM_grid_1_AutoML_20190420_034740_model_1,1.0,0.0019980892399969288,0.0,0.007838305032985193,6.1439025790121e-05
9,StackedEnsemble_BestOfFamily_AutoML_20190420_034740,1.0,0.0015067239771361838,0.0,0.0016990042729413356,2.8866155194729164e-06
10,GBM_grid_1_AutoML_20190420_034740_model_5,1.0,0.02827298990676207,0.0,0.030114433180913155,0.0009068790858076832
11,GBM_grid_1_AutoML_20190420_034740_model_2,1.0,2.186554455194798e-18,0.0,9.949064550662204e-17,9.898388543324335e-33
12,GBM_grid_1_AutoML_20190420_034740_model_3,1.0,2.15922252450486e-18,0.0,5.0246050837694045e-17,2.524665624784134e-33
13,DRF_1_AutoML_20190420_034740,1.0,0.0007927693837483003,0.0,0.007845196350531842,6.154710577839812e-05
14,GBM_5_AutoML_20190420_034740,1.0,7.893758134740927e-14,0.0,8.915236137754145e-13,7.948143539191748e-25
15,DeepLearning_1_AutoML_20190420_034740,0.999999939314968,0.0009802428097875498,0.0001188212927756654,0.014378258838164272,0.00020673432721724899
16,DeepLearning_grid_1_AutoML_20190420_034740_model_1,0.9999998179449041,0.004481388389682847,0.00012768130745658836,0.03236137205086971,0.0010472584010148113
17,DeepLearning_grid_1_AutoML_20190420_034740_model_2,0.9999074856686228,0.016395373663929024,0.00334107512515681,0.06734314524157035,0.00453509921102724
18,XRT_1_AutoML_20190420_034740,0.9985758436675896,0.14290213663105794,0.008031906733416966,0.17106101142972194,0.029261869631359464
19,GBM_grid_1_AutoML_20190420_034740_model_7,0.9140122224509374,0.6876445486953812,0.10584780388151174,0.4972443313072055,0.24725192501715
